model,accuracy,recall,f1_score,roc_auc
random_forest,0.9998360790099172,0.9999107302267453,0.9999107302267453,0.9999906619706656
decision_tree,0.9995901975247931,0.9998214604534904,0.999776835527784,0.9984092287252436
knn,0.998934513564462,0.9994643813604713,0.9994197723722383,0.9978998369910707
svm,0.9950004098024752,0.9995536511337261,0.9972834558004898,0.997864138017682
logistic_regression,0.993689041881813,0.9998214604534904,0.9965742759265026,0.9966252630062665
naive_bayes,0.9826243750512254,0.9877700410640957,0.9905111449288336,0.971785032667018
